Date,Price,sma,diff,threshold,signal,change,pnl
09/13/2021,44949.50,43367.32,0.04,0.06,0,-0.024158585,-0.02416
09/14/2021,47077.50,43628.712,0.08,0.06,1,0.047342017,0
09/15/2021,48130.60,43905.578,0.10,0.06,1,0.022369497,0.022369
09/16/2021,47748.00,44171.622,0.08,0.06,1,-0.007949205,-0.00795
09/17/2021,47282.80,44445.715,0.06,0.06,1,-0.009742816,-0.00974
09/18/2021,48306.70,44754.263,0.08,0.06,1,0.021654809,0.021655
09/19/2021,47238.70,45006.052,0.05,0.06,0,-0.022108734,-0.02211
09/20/2021,42870.60,45182.247,-0.05,0.06,0,-0.092468675,0
09/21/2021,40651.30,45299.713,-0.10,0.06,0,-0.051767412,0
09/22/2021,43551.60,45461.827,-0.04,0.06,0,0.071345812,0
09/23/2021,44869.20,45619.795,-0.02,0.06,0,0.030253768,0
09/24/2021,42819.90,45712.183,-0.06,0.06,0,-0.045672755,0
09/25/2021,42686.80,45766.097,-0.07,0.06,0,-0.003108368,0
09/26/2021,43203.40,45819.433,-0.06,0.06,0,0.012102102,0
09/27/2021,42172.60,45855.62,-0.08,0.06,0,-0.023859233,0
09/28/2021,41022.30,45835.935,-0.11,0.06,0,-0.027276004,0
09/29/2021,41536.80,45835.653,-0.09,0.06,0,0.012541959,0
09/30/2021,43823.30,45901.403,-0.05,0.06,0,0.055047572,0
1/10/2021,48146.00,46051.03,0.05,0.06,0,0.098639308,0
2/10/2021,47666.90,46209.973,0.03,0.06,0,-0.009950982,0
3/10/2021,48200.10,46351.027,0.04,0.06,0,0.011185959,0
4/10/2021,49227.30,46490.362,0.06,0.06,0,0.021311159,0
5/10/2021,51469.30,46634.927,0.10,0.06,1,0.045543834,0
6/10/2021,55323.20,46813.41,0.18,0.06,1,0.074877646,0.074878
7/10/2021,53783.90,46979.928,0.14,0.06,1,-0.02782377,-0.02782
8/10/2021,53914.70,47107.102,0.14,0.06,1,0.002431955,0.002432
9/10/2021,54942.50,47262.913,0.16,0.06,1,0.019063447,0.019063
10/10/2021,54687.70,47414.97,0.15,0.06,1,-0.004637576,-0.00464
11/10/2021,57477.30,47632.868,0.21,0.06,1,0.051009642,0.05101
12/10/2021,56015.90,47769.648,0.17,0.06,1,-0.02542569,-0.02543
10/13/2021,57380.10,47941.292,0.20,0.06,1,0.0243538,0.024354
10/14/2021,57345.80,48113.867,0.19,0.06,1,-0.000597768,-0.0006
10/15/2021,61672.50,48375.137,0.27,0.06,1,0.075449292,0.075449
10/16/2021,60861.10,48644.628,0.25,0.06,1,-0.013156593,-0.01316
10/17/2021,61527.50,48924.69,0.26,0.06,1,0.010949523,0.01095
10/18/2021,62056.30,49179.697,0.26,0.06,1,0.008594531,0.008595
10/19/2021,64278.50,49428.938,0.30,0.06,1,0.035809418,0.035809
10/20/2021,65979.10,49713.993,0.33,0.06,1,0.026456747,0.026457
10/21/2021,62210.20,49929.922,0.25,0.06,1,-0.057122634,-0.05712
10/22/2021,60690.30,50115.765,0.21,0.06,1,-0.024431685,-0.02443
10/23/2021,61312.50,50342.395,0.22,0.06,1,0.01025205,0.010252
10/24/2021,60866.50,50540.262,0.20,0.06,1,-0.00727421,-0.00727
10/25/2021,63067.00,50810.852,0.24,0.06,1,0.036152892,0.036153
10/26/2021,60310.80,50998.293,0.18,0.06,1,-0.043702729,-0.0437
10/27/2021,58438.10,51157.31,0.14,0.06,1,-0.031050823,-0.03105
10/28/2021,60582.50,51354.062,0.18,0.06,1,0.036695238,0.036695
10/29/2021,62242.80,51608.23,0.21,0.06,1,0.027405604,0.027406
10/30/2021,61840.10,51853.392,0.19,0.06,1,-0.006469825,-0.00647
10/31/2021,61309.60,52061.562,0.18,0.06,1,-0.008578576,-0.00858
1/11/2021,60915.30,52255.578,0.17,0.06,1,-0.006431293,-0.00643
2/11/2021,63221.70,52475.957,0.20,0.06,1,0.037862409,0.037862
3/11/2021,62918.50,52692.625,0.19,0.06,1,-0.004795822,-0.0048
4/11/2021,61412.60,52853.358,0.16,0.06,1,-0.023934137,-0.02393
5/11/2021,60974.30,52991.728,0.15,0.06,1,-0.007136972,-0.00714
6/11/2021,61483.90,53236.8,0.15,0.06,1,0.00835762,0.008358
7/11/2021,63273.20,53523.663,0.18,0.06,1,0.029101927,0.029102
8/11/2021,67527.90,53876.035,0.25,0.06,1,0.067243319,0.067243
9/11/2021,66904.40,54243.728,0.23,0.06,1,-0.009233221,-0.00923
10/11/2021,64932.60,54573.24,0.19,0.06,1,-0.029471903,-0.02947
11/11/2021,64806.70,54885.647,0.18,0.06,1,-0.001938934,-0.00194
12/11/2021,64134.50,55205.397,0.16,0.06,1,-0.010372384,-0.01037
11/13/2021,64398.60,55494.082,0.16,0.06,1,0.004117908,0.004118
11/14/2021,65508.20,55783.708,0.17,0.06,1,0.017230188,0.01723
11/15/2021,63597.90,56047.873,0.13,0.06,1,-0.029161235,-0.02916
11/16/2021,60089.10,56261.312,0.07,0.06,1,-0.055171633,-0.05517
11/17/2021,60367.80,56462.33,0.07,0.06,1,0.004638112,0.004638
11/18/2021,56955.30,56624.273,0.01,0.06,0,-0.05652848,-0.05653
11/19/2021,58083.40,56877.82,0.02,0.06,0,0.019806761,0
11/20/2021,59717.60,57195.592,0.04,0.06,0,0.028135405,0
11/21/2021,58714.30,57448.303,0.02,0.06,0,-0.016800742,0
11/22/2021,56308.80,57638.963,-0.02,0.06,0,-0.040969576,0
11/23/2021,57573.20,57884.852,-0.01,0.06,0,0.02245475,0
11/24/2021,57171.70,58126.267,-0.02,0.06,0,-0.006973731,0
11/25/2021,58935.10,58388.462,0.01,0.06,0,0.030843932,0
11/26/2021,53730.90,58581.1,-0.08,0.06,0,-0.088303914,0
11/27/2021,54765.90,58810.16,-0.07,0.06,0,0.019262659,0
11/28/2021,57291.50,59072.738,-0.03,0.06,0,0.046116288,0
11/29/2021,57794.80,59305.597,-0.03,0.06,0,0.008784898,0
11/30/2021,56882.90,59451.212,-0.04,0.06,0,-0.015778236,0
1/12/2021,57210.30,59610.268,-0.04,0.06,0,0.005755684,0
2/12/2021,56496.00,59748.533,-0.05,0.06,0,-0.012485514,0
3/12/2021,53631.50,59821.937,-0.10,0.06,0,-0.050702705,0
4/12/2021,49195.20,59784.035,-0.18,0.06,0,-0.082718179,0
5/12/2021,49405.50,59685.407,-0.17,0.06,0,0.004274807,0
6/12/2021,50562.10,59631.71,-0.15,0.06,0,0.023410349,0
7/12/2021,50595.20,59576.385,-0.15,0.06,0,0.000654641,0
8/12/2021,50473.90,59501.908,-0.15,0.06,0,-0.002397461,0
9/12/2021,47596.60,59383.723,-0.20,0.06,0,-0.0570057,0
10/12/2021,47137.20,59211.388,-0.20,0.06,0,-0.00965195,0
11/12/2021,49314.50,59099.698,-0.17,0.06,0,0.046190694,0
12/12/2021,50081.00,58978.047,-0.15,0.06,0,0.015543096,0
12/13/2021,46703.60,58800.677,-0.21,0.06,0,-0.067438749,0
12/14/2021,48366.50,58578.91,-0.17,0.06,0,0.035605392,0
12/15/2021,48871.50,58379.083,-0.16,0.06,0,0.010441111,0
12/16/2021,47628.20,58147.428,-0.18,0.06,0,-0.025440185,0
12/17/2021,46172.20,57882.693,-0.20,0.06,0,-0.030570124,0
12/18/2021,46856.20,57592.322,-0.19,0.06,0,0.014814109,0
12/19/2021,46704.50,57271.078,-0.18,0.06,0,-0.003237565,0
12/20/2021,46895.20,57015.828,-0.18,0.06,0,0.004083118,0
12/21/2021,48902.00,56819.357,-0.14,0.06,0,0.042793292,0
12/22/2021,48599.70,56607.477,-0.14,0.06,0,-0.006181751,0
12/23/2021,50801.00,56439.718,-0.10,0.06,0,0.045294518,0
12/24/2021,50786.10,56235.037,-0.10,0.06,0,-0.000293301,0
12/25/2021,50406.40,56069.963,-0.10,0.06,0,-0.007476455,0
12/26/2021,50779.90,55942.327,-0.09,0.06,0,0.007409773,0
12/27/2021,50678.20,55777.255,-0.09,0.06,0,-0.002002761,0
12/28/2021,47545.20,55532.295,-0.14,0.06,0,-0.061821454,0
12/29/2021,46461.70,55275.988,-0.16,0.06,0,-0.022788841,0
12/30/2021,47123.30,55039.55,-0.14,0.06,0,0.014239686,0
12/31/2021,46219.50,54794.62,-0.16,0.06,0,-0.019179472,0
1/1/2022,47738.00,54536.558,-0.12,0.06,0,0.032854098,0
